cd_grupo;nm_grupo;nm_razao_social;nr_cnpj;ds_status;fl_status;fl_pre_agendamento;ds_pre_agendamento;fl_esocial_automatico;ds_esocial_automatico;dt_minima_eventos;cd_assinatura;cd_user_cadm;nm_user_cadm;ts_user_cadm;cd_user_manu;nm_user_manu;ts_user_manu
39841;CONDOMINIO UP HOME SANTANA;;;Ativo;A;N;Não;N;Não;;2941;3068;Anderson Moraes Bompadre;27/07/2022 12:14;3068;Anderson Moraes Bompadre;22/03/2023 14:52
39842;CONDOMINIO EDIFICIO PLAZA DEL REY;;;Ativo;A;N;Não;N;Não;;2941;3068;Anderson Moraes Bompadre;27/07/2022 12:20;3068;Anderson Moraes Bompadre;27/07/2022 12:20
39843;LAB ONE LABORATORIO DE ANALISES CLINICAS LTDA;;;Ativo;A;N;Não;N;Não;;2941;3068;Anderson Moraes Bompadre;27/07/2022 12:24;3068;Anderson Moraes Bompadre;27/07/2022 12:24
39845;M&C Prestação de Serviços de Portaria e Limpeza Ei;;;Ativo;A;N;Não;N;Não;;2941;3068;Anderson Moraes Bompadre;27/07/2022 12:35;3068;Anderson Moraes Bompadre;27/07/2022 12:35
39846;CENTROFARMA PRODUTOS FARMACEUTICOS LTDA;;;Ativo;A;N;Não;N;Não;;2941;3068;Anderson Moraes Bompadre;27/07/2022 12:49;3068;Anderson Moraes Bompadre;27/07/2022 12:49
39848;CONDOMINIO EDIFICIO PETRUS;;;Ativo;A;N;Não;N;Não;;2941;3068;Anderson Moraes Bompadre;27/07/2022 12:53;3068;Anderson Moraes Bompadre;27/07/2022 12:53
39849;MARCO ANTONIO HELFER;;;Ativo;A;N;Não;N;Não;;2941;3068;Anderson Moraes Bompadre;27/07/2022 13:04;3068;Anderson Moraes Bompadre;27/07/2022 13:04
39853;Paulista Montagem, Transporte, Remoção E Içamento;;;Ativo;A;N;Não;N;Não;;2941;3068;Anderson Moraes Bompadre;27/07/2022 13:40;3068;Anderson Moraes Bompadre;27/07/2022 13:40
40709;A.M.P. INDUSTRIA E COMERCIO DE FERRAMENTAS EIRELI;;;Ativo;A;N;Não;N;Não;;2941;3068;Anderson Moraes Bompadre;12/08/2022 09:18;3068;Anderson Moraes Bompadre;12/08/2022 09:18
41027;Tânia Maria Rodrigues Lopes;;;Ativo;A;N;Não;N;Não;;2941;3068;Anderson Moraes Bompadre;18/08/2022 16:42;3068;Anderson Moraes Bompadre;18/08/2022 16:42
42092;EVIDENT BRASIL CERTIFICACAO LTDA;;;Ativo;A;N;Não;N;Não;;2941;3068;Anderson Moraes Bompadre;08/09/2022 14:39;3068;Anderson Moraes Bompadre;08/09/2022 14:39
42097;O PEIXEIRO PEIXARIA DELIVERY LTDA;;;Ativo;A;N;Não;N;Não;;2941;3068;Anderson Moraes Bompadre;08/09/2022 15:29;3068;Anderson Moraes Bompadre;08/09/2022 15:29
42392;FORTES DO FITNESS MANUT EQUIP. ESPORTIVOS LTDA;;;Ativo;A;N;Não;N;Não;;2941;3068;Anderson Moraes Bompadre;14/09/2022 10:39;3068;Anderson Moraes Bompadre;14/09/2022 10:39
43754;Bruno Felipe Martins;;;Ativo;A;N;Não;N;Não;;2941;3068;Anderson Moraes Bompadre;09/10/2022 19:10;3068;Anderson Moraes Bompadre;09/10/2022 19:10
44221;Ella Soluções Prediais Ltda;;;Ativo;A;N;Não;N;Não;;2941;3068;Anderson Moraes Bompadre;18/10/2022 08:16;3068;Anderson Moraes Bompadre;18/10/2022 08:16
46040;LURI CABELEIREIROS LTDA EPP;;;Ativo;A;N;Não;N;Não;;2941;3068;Anderson Moraes Bompadre;09/11/2022 17:35;3068;Anderson Moraes Bompadre;09/11/2022 17:35
46051;ODONTOLOGIA MODERNA PENHA CLINICA ODONTOLOGICA S/S;;;Ativo;A;N;Não;N;Não;;2941;3068;Anderson Moraes Bompadre;09/11/2022 19:00;3068;Anderson Moraes Bompadre;09/11/2022 19:00
46348;Comunica Produções Comunicação Visual LTDA;;;Ativo;A;N;Não;N;Não;;2941;3068;Anderson Moraes Bompadre;12/11/2022 09:32;3068;Anderson Moraes Bompadre;12/11/2022 09:32
46353;AIKO E ARAI ODONTOCLINIC LTDA;;;Ativo;A;N;Não;N;Não;;2941;3068;Anderson Moraes Bompadre;12/11/2022 12:24;16794;Adm - Lume;18/10/2024 13:27
50672;COELHO & LIMA;;;Ativo;A;N;Não;N;Não;;2941;3068;Anderson Moraes Bompadre;09/12/2022 02:56;3068;Anderson Moraes Bompadre;09/12/2022 02:56
50673;IMPERIAL MATERIAL ELETRICO LTDA SILVER LUSTRES;;;Ativo;A;N;Não;N;Não;;2941;3068;Anderson Moraes Bompadre;09/12/2022 03:44;3068;Anderson Moraes Bompadre;09/12/2022 03:59
52539;Contabilidade Ligia;;;Ativo;A;N;Não;N;Não;;2941;3068;Anderson Moraes Bompadre;15/12/2022 06:30;3068;Anderson Moraes Bompadre;15/12/2022 06:30
52549;TENET DO BRASIL EIRELI;;;Ativo;A;N;Não;N;Não;;2941;3068;Anderson Moraes Bompadre;15/12/2022 07:33;3068;Anderson Moraes Bompadre;15/12/2022 07:33
53786;Botica APS Farmácia de Manipulação LTDA.;;;Ativo;A;N;Não;N;Não;;2941;3068;Anderson Moraes Bompadre;17/12/2022 17:07;16794;Adm - Lume;23/09/2024 14:14
53800;APS Treinamento e Apoio Administrativo LTDA;;;Ativo;A;N;Não;N;Não;;2941;3068;Anderson Moraes Bompadre;17/12/2022 17:43;16794;Adm - Lume;18/10/2024 16:06
54088;CLAUDIA GRAZZIOLLI SOMMA JACINTO ME;;;Ativo;A;N;Não;N;Não;;2941;3068;Anderson Moraes Bompadre;19/12/2022 09:39;3068;Anderson Moraes Bompadre;19/12/2022 09:39
54504;MAR CONTABILIDADE E ADMINISTRAÇÃO LTDA;;;Ativo;A;N;Não;N;Não;;2941;3068;Anderson Moraes Bompadre;19/12/2022 18:45;3068;Anderson Moraes Bompadre;19/12/2022 18:45
54533;Valfran Organização Contabil LTDA;;;Ativo;A;N;Não;N;Não;;2941;3068;Anderson Moraes Bompadre;19/12/2022 19:31;3068;Anderson Moraes Bompadre;20/02/2023 13:56
54778;Ninja Grupo;;;Ativo;A;N;Não;N;Não;;2941;3068;Anderson Moraes Bompadre;20/12/2022 09:09;3068;Anderson Moraes Bompadre;20/12/2022 09:12
55401;EDSON OLIVON BENITEZ;;;Ativo;A;N;Não;N;Não;;2941;3068;Anderson Moraes Bompadre;21/12/2022 07:06;3068;Anderson Moraes Bompadre;21/12/2022 07:06
55405;ATOMY DO BRASIL COSMETICOS LTDA;;;Ativo;A;N;Não;N;Não;;2941;3068;Anderson Moraes Bompadre;21/12/2022 07:28;3068;Anderson Moraes Bompadre;21/12/2022 07:28
56219;Condomínio Edifício São Sebastiao;;;Ativo;A;N;Não;N;Não;;2941;3068;Anderson Moraes Bompadre;22/12/2022 07:32;3068;Anderson Moraes Bompadre;22/12/2022 07:32
56324;Saldanha Contabilidade;;;Ativo;A;N;Não;N;Não;;2941;3068;Anderson Moraes Bompadre;22/12/2022 10:04;3068;Anderson Moraes Bompadre;22/12/2022 10:04
57032;Doceria Kukas Ltda;;;Ativo;A;N;Não;N;Não;;2941;3068;Anderson Moraes Bompadre;23/12/2022 08:04;3068;Anderson Moraes Bompadre;23/12/2022 08:04
60043;Manoel Jardim;;;Ativo;A;N;Não;N;Não;;2941;3068;Anderson Moraes Bompadre;27/12/2022 16:25;3068;Anderson Moraes Bompadre;21/04/2024 12:04
67939;Associações Colônias Japonesas;;;Ativo;A;N;Não;N;Não;;2941;3068;Anderson Moraes Bompadre;07/01/2023 06:57;16794;Adm - Lume;11/04/2024 09:36
68029;ESCOLA DE ENSINO FUNDAMENTAL AVALON LTDA;;;Ativo;A;N;Não;N;Não;;2941;3068;Anderson Moraes Bompadre;07/01/2023 13:01;3068;Anderson Moraes Bompadre;07/01/2023 13:01
84537;Marc Servicos De Blindagens Ltda;;;Ativo;A;N;Não;N;Não;;2941;3068;Anderson Moraes Bompadre;31/01/2023 18:11;3068;Anderson Moraes Bompadre;31/01/2023 18:11
86084;MART BEL COMERCIAL LTDA;;;Ativo;A;N;Não;N;Não;;2941;3068;Anderson Moraes Bompadre;02/02/2023 18:49;3068;Anderson Moraes Bompadre;02/02/2023 18:50
86222;OFF & OPS;;;Ativo;A;N;Não;N;Não;;2941;3068;Anderson Moraes Bompadre;02/02/2023 22:28;3068;Anderson Moraes Bompadre;02/02/2023 22:28
86257;RITA DE CASSIA PEREIRA PIRES SOCIEDADE INDIVIDUAL;;;Ativo;A;N;Não;N;Não;;2941;3068;Anderson Moraes Bompadre;03/02/2023 01:22;3068;Anderson Moraes Bompadre;03/02/2023 01:22
101769;Maison Security System - LTDA;;;Ativo;A;N;Não;N;Não;;2941;3068;Anderson Moraes Bompadre;20/02/2023 16:39;16794;Adm - Lume;24/04/2024 17:29
102108;ORGANIZACAO DE DESPACHOS FEIJO S.S. LTDA;;;Ativo;A;N;Não;N;Não;;2941;3068;Anderson Moraes Bompadre;22/02/2023 12:00;3068;Anderson Moraes Bompadre;22/02/2023 12:00
102111;M3 Brasil Corretora De Seguros Ltda;;;Ativo;A;N;Não;N;Não;;2941;3068;Anderson Moraes Bompadre;22/02/2023 12:37;16794;Adm - Lume;28/01/2025 11:42
102113;Folha & Vida produtos Naturais LTDA;;;Ativo;A;N;Não;N;Não;;2941;3068;Anderson Moraes Bompadre;22/02/2023 12:52;3068;Anderson Moraes Bompadre;22/02/2023 12:52
104451;CORP ENGENHARIA LTDA;;;Ativo;A;N;Não;N;Não;;2941;3068;Anderson Moraes Bompadre;02/03/2023 11:03;3068;Anderson Moraes Bompadre;02/03/2023 11:03
104457;MIYASHIRO ELETRONICOS E PRESENTES LTDA;;;Ativo;A;N;Não;N;Não;;2941;3068;Anderson Moraes Bompadre;02/03/2023 11:15;16794;Adm - Lume;12/04/2024 09:16
108315;AGM MARCENARIA E MONTAGEM DE MOVEIS LTDA;;;Ativo;A;N;Não;N;Não;;2941;3068;Anderson Moraes Bompadre;19/03/2023 17:41;3068;Anderson Moraes Bompadre;19/03/2023 17:41
109005;ESPACO DAS OLIVEIRAS BUFFET LTDA;;;Ativo;A;N;Não;N;Não;;2941;3068;Anderson Moraes Bompadre;22/03/2023 17:06;3068;Anderson Moraes Bompadre;22/03/2023 17:06
109013;Alencar Solução Empresarial e Cobranças Ltda;;;Ativo;A;N;Não;N;Não;;2941;3068;Anderson Moraes Bompadre;22/03/2023 17:38;3068;Anderson Moraes Bompadre;22/03/2023 17:38
114145;Okada & Oshiro Imobiliária LTDA;;;Ativo;A;N;Não;N;Não;;2941;3068;Anderson Moraes Bompadre;28/04/2023 10:53;3068;Anderson Moraes Bompadre;28/04/2023 10:53
114171;CHERIE PEDICURO LTDA;;;Ativo;A;N;Não;N;Não;;2941;3068;Anderson Moraes Bompadre;28/04/2023 13:17;3068;Anderson Moraes Bompadre;28/04/2023 13:17
114305;Forjaz & Benoski Serviços Educacionais Ltda;;;Ativo;A;N;Não;N;Não;;2941;3068;Anderson Moraes Bompadre;01/05/2023 09:47;3068;Anderson Moraes Bompadre;01/05/2023 09:47
114309;LVO Assessoria;;;Ativo;A;N;Não;N;Não;;2941;3068;Anderson Moraes Bompadre;01/05/2023 10:32;3068;Anderson Moraes Bompadre;01/05/2023 10:32
114321;Essence Lab Estética Dental Ltda;;;Ativo;A;N;Não;N;Não;;2941;3068;Anderson Moraes Bompadre;01/05/2023 14:43;3068;Anderson Moraes Bompadre;01/05/2023 14:43
116330;Erivaldo Joao Batista;;;Ativo;A;N;Não;N;Não;;2941;3068;Anderson Moraes Bompadre;18/05/2023 12:59;3068;Anderson Moraes Bompadre;18/05/2023 12:59
116793;Aete Holding LTDA.;;;Ativo;A;N;Não;N;Não;;2941;3068;Anderson Moraes Bompadre;23/05/2023 12:56;16794;Adm - Lume;23/04/2024 14:53
119087;Lirio Cafe E Bistro Ltda;;;Ativo;A;N;Não;N;Não;;2941;3068;Anderson Moraes Bompadre;05/06/2023 15:47;3068;Anderson Moraes Bompadre;05/06/2023 15:47
119427;PADARIA E MERCEARIA J E LTDA;;;Ativo;A;N;Não;N;Não;;2941;3068;Anderson Moraes Bompadre;09/06/2023 13:51;3068;Anderson Moraes Bompadre;09/06/2023 13:51
119448;AC DA SILVA GUINCHO;;;Ativo;A;N;Não;N;Não;;2941;3068;Anderson Moraes Bompadre;09/06/2023 15:40;16794;Adm - Lume;11/04/2024 10:26
120616;Dellvet Clinica Veterinária;;;Ativo;A;N;Não;N;Não;;2941;3068;Anderson Moraes Bompadre;22/06/2023 12:55;3068;Anderson Moraes Bompadre;22/06/2023 12:55
121131;Contabilidade Organiza;;;Ativo;A;N;Não;N;Não;;2941;3068;Anderson Moraes Bompadre;28/06/2023 16:36;3068;Anderson Moraes Bompadre;28/06/2023 16:36
121540;Proconsult Assessoria Empresarial LTDA;;;Ativo;A;N;Não;N;Não;;2941;3068;Anderson Moraes Bompadre;05/07/2023 07:40;16794;Adm - Lume;18/10/2024 15:24
121920;BELA EQUIPE CORPO E CABELO CABELEIREIROS;;;Ativo;A;N;Não;N;Não;;2941;3068;Anderson Moraes Bompadre;10/07/2023 08:18;3068;Anderson Moraes Bompadre;10/07/2023 08:18
121925;SIGMA GESTAO AMBIENTAL LTDA;;;Ativo;A;N;Não;N;Não;;2941;3068;Anderson Moraes Bompadre;10/07/2023 08:43;3068;Anderson Moraes Bompadre;10/07/2023 08:43
121926;SIRLEI RODRIGUES TOSCHI;;;Ativo;A;N;Não;N;Não;;2941;3068;Anderson Moraes Bompadre;10/07/2023 08:43;3068;Anderson Moraes Bompadre;10/07/2023 08:43
121928;RECIPLAS COMERCIO DE SUCATAS PLASTICAS LTDA;;;Ativo;A;N;Não;N;Não;;2941;3068;Anderson Moraes Bompadre;10/07/2023 08:45;3068;Anderson Moraes Bompadre;10/07/2023 08:45
122716;ODDS Intermediação de Negócios LTDA;;;Ativo;A;N;Não;N;Não;;2941;3068;Anderson Moraes Bompadre;18/07/2023 14:33;3068;Anderson Moraes Bompadre;18/07/2023 14:33
122731;ODDS On-Line Serviços Empresariais LTDA;;;Ativo;A;N;Não;N;Não;;2941;3068;Anderson Moraes Bompadre;18/07/2023 15:19;3068;Anderson Moraes Bompadre;18/07/2023 15:19
128738;NERO NUCLEO DE ESTETICA E REABILITACAO ORAL S/S LT;;;Ativo;A;N;Não;N;Não;;2941;3068;Anderson Moraes Bompadre;02/10/2023 16:29;3068;Anderson Moraes Bompadre;02/10/2023 16:29
129380;Kenji Kiyohara Consultoria e Assessoria Contábil;;;Ativo;A;N;Não;N;Não;;2941;3068;Anderson Moraes Bompadre;10/10/2023 09:34;3068;Anderson Moraes Bompadre;10/10/2023 09:34
130025;A DIGIFORTE TECNOLOGIA LTDA;;;Ativo;A;N;Não;N;Não;;2941;3068;Anderson Moraes Bompadre;19/10/2023 11:31;3068;Anderson Moraes Bompadre;19/10/2023 11:31
130210;CARDIOANGIOCARE CLÍNICA MÉDICA LTDA;;;Ativo;A;N;Não;N;Não;;2941;3068;Anderson Moraes Bompadre;22/10/2023 12:47;16794;Adm - Lume;22/10/2024 09:08
131263;Aromas Da Natureza Nobre Comercio De Saneantes E C;;;Ativo;A;N;Não;N;Não;;2941;3068;Anderson Moraes Bompadre;03/11/2023 14:38;3068;Anderson Moraes Bompadre;03/11/2023 14:38
131790;CIDEP CENTRO INTEGRADO DE DIABETES, ENDOCRINOLOGIA;;;Ativo;A;N;Não;N;Não;;2941;3068;Anderson Moraes Bompadre;11/11/2023 00:59;3068;Anderson Moraes Bompadre;11/11/2023 00:59
131792;PETTA CLINICA ODONTOLOGICA EIRELI;;;Ativo;A;N;Não;N;Não;;2941;3068;Anderson Moraes Bompadre;11/11/2023 01:05;3068;Anderson Moraes Bompadre;11/11/2023 01:05
132283;CBC Consultoria;;;Ativo;A;N;Não;N;Não;;2941;3068;Anderson Moraes Bompadre;20/11/2023 11:40;3068;Anderson Moraes Bompadre;20/11/2023 11:40
132284;Santarossa & Gomes Clinica Medica Ltda;;;Ativo;A;N;Não;N;Não;;2941;3068;Anderson Moraes Bompadre;20/11/2023 12:22;3068;Anderson Moraes Bompadre;20/11/2023 12:22
133364;H3 Construção e Incorporação Ltda;;;Ativo;A;N;Não;N;Não;;2941;3068;Anderson Moraes Bompadre;06/12/2023 03:12;3068;Anderson Moraes Bompadre;06/12/2023 03:12
135159;APCD;;;Ativo;A;N;Não;N;Não;;2941;3068;Anderson Moraes Bompadre;08/01/2024 08:56;3068;Anderson Moraes Bompadre;08/01/2024 08:56
136778;CONCESSIONÁRIA RODOANEL NORTE SPE S/A.;;;Ativo;A;N;Não;N;Não;;2941;3068;Anderson Moraes Bompadre;26/01/2024 13:54;16794;Adm - Lume;19/11/2024 09:16
137438;Prime Manutenção Automotiva;;;Ativo;A;N;Não;N;Não;;2941;3068;Anderson Moraes Bompadre;05/02/2024 09:18;3068;Anderson Moraes Bompadre;05/02/2024 09:18
137549;INSTITUTO ODONTOLOGICO LIZETE ICHIBA LTDA;;;Ativo;A;N;Não;N;Não;;2941;3068;Anderson Moraes Bompadre;06/02/2024 08:51;3068;Anderson Moraes Bompadre;06/02/2024 08:51
138644;Daiara Almeida Oliveira;;;Ativo;A;N;Não;N;Não;;2941;3068;Anderson Moraes Bompadre;21/02/2024 10:09;3068;Anderson Moraes Bompadre;21/02/2024 10:09
138815;Flavia Fukuya Ohno;;;Ativo;A;N;Não;N;Não;;2941;3068;Anderson Moraes Bompadre;22/02/2024 19:00;3068;Anderson Moraes Bompadre;22/02/2024 19:00
139248;Baby Lady;;;Ativo;A;N;Não;N;Não;;2941;3068;Anderson Moraes Bompadre;28/02/2024 16:13;3068;Anderson Moraes Bompadre;28/02/2024 16:13
139265;Hus Arquitetura Ltda;;;Ativo;A;N;Não;N;Não;;2941;3068;Anderson Moraes Bompadre;28/02/2024 18:42;3068;Anderson Moraes Bompadre;28/02/2024 18:42
140976;Ecrel Contabilidade;;;Ativo;A;N;Não;N;Não;;2941;20279;Isabely Garcia;19/03/2024 14:27;20279;Isabely Garcia;19/03/2024 14:27
141702;Norio Takada Pescados;;;Ativo;A;N;Não;N;Não;;2941;3068;Anderson Moraes Bompadre;27/03/2024 00:59;3068;Anderson Moraes Bompadre;27/03/2024 00:59
143238;Nivyane Siqueira Furtado de Mello Catto;;;Ativo;A;N;Não;N;Não;;2941;16794;Adm - Lume;15/04/2024 16:26;16794;Adm - Lume;15/04/2024 16:26
143299;LJM Construção e Reforma LTDA;;;Ativo;A;N;Não;N;Não;;2941;3068;Anderson Moraes Bompadre;16/04/2024 10:56;16794;Adm - Lume;12/07/2024 10:36
144064;TAUK PETITI ODONTOLOGIA LTDA;;;Ativo;A;N;Não;N;Não;;2941;16794;Adm - Lume;24/04/2024 17:13;16794;Adm - Lume;19/12/2025 17:01
144783;Jovelina Francisca Dos Santos;;;Ativo;A;N;Não;N;Não;;2941;16794;Adm - Lume;06/05/2024 16:24;16794;Adm - Lume;06/05/2024 16:24
144952;LILIAN NOBERTO - ICLINIC - INDIVIDUAL ORAL CARE;;;Ativo;A;N;Não;N;Não;;2941;16794;Adm - Lume;08/05/2024 11:33;16794;Adm - Lume;08/05/2024 11:33
146081;AMPLAS SOLUCOES EM INTERNACIONALIZACAO E NEGOCIOS;;;Ativo;A;N;Não;N;Não;;2941;16794;Adm - Lume;22/05/2024 14:52;16794;Adm - Lume;22/05/2024 14:52
146263;Ana Márcia Pereira Starling Freitas;;;Ativo;A;N;Não;N;Não;;2941;16794;Adm - Lume;24/05/2024 17:18;16794;Adm - Lume;24/05/2024 17:19
146646;Rachel Cabeleireiras LTDA;;;Ativo;A;N;Não;N;Não;;2941;3068;Anderson Moraes Bompadre;01/06/2024 16:23;16794;Adm - Lume;12/06/2024 17:30
148485;Dario Augusto Toti;;;Ativo;A;N;Não;N;Não;;2941;16794;Adm - Lume;03/07/2024 13:47;16794;Adm - Lume;03/07/2024 13:47
149418;ARCEL AR CONDICIONADO LTDA;;;Ativo;A;N;Não;N;Não;;2941;16794;Adm - Lume;18/07/2024 15:59;16794;Adm - Lume;18/07/2024 15:59
151775;Doce Sabor Chocolates LTDA;;;Ativo;A;N;Não;N;Não;;2941;16794;Adm - Lume;30/08/2024 16:46;16794;Adm - Lume;30/08/2024 16:46
152559;Eliane Langellotti;;;Ativo;A;N;Não;N;Não;;2941;16794;Adm - Lume;13/09/2024 15:07;16794;Adm - Lume;13/09/2024 15:07
154133;NILSON MINORU KANASHIRO;;;Ativo;A;N;Não;N;Não;;2941;16794;Adm - Lume;08/10/2024 16:53;16794;Adm - Lume;08/10/2024 16:53
154823;Maria Cecilia Portela;;;Ativo;A;N;Não;N;Não;;2941;16794;Adm - Lume;17/10/2024 09:07;16794;Adm - Lume;17/10/2024 09:07
