"Grupo_Nome","Empresa_Nome","Unidade_Nome","Setor_Nome","Funcao_Nome","Ativo"
"Ninja Grupo","NINJA SOM COMERCIO DE ELETRONICOS - 0001-15","NINJA SOM COMERCIO DE ELETRONICOS E MAT- 0009-72","Loja","Gerente","true"
"Ninja Grupo","NINJA SOM COMERCIO DE ELETRONICOS - 0001-15","NINJA SOM COMERCIO DE ELETRONICOS E MAT- 0009-72","Loja","Vendedor","true"
"Ninja Grupo","NINJA SOM COMERCIO DE ELETRONICOS - 0001-15","NINJA SOM COMERCIO DE ELETRONICOS E MAT- 0008-91","Loja","Faxineira","true"
"Ninja Grupo","NINJA SOM COMERCIO DE ELETRONICOS - 0001-15","NINJA SOM COMERCIO DE ELETRONICOS E MAT- 0008-91","Loja","Vendedor","true"
"Ninja Grupo","NINJA SOM COMERCIO DE ELETRONICOS - 0001-15","NINJA SOM COMERCIO DE ELETRONICOS E MAT- 0008-91","Loja","Caixa","true"
"Ninja Grupo","NINJA SOM COMERCIO DE ELETRONICOS - 0001-15","NINJA SOM COMERCIO DE ELETRONICOS E MAT- 0011-97","Escritório","Assistente de Contas a Pagar","true"
"Ninja Grupo","SD AUDIO 0001-00","SD Audio","Loja","Web Design","true"
"Ninja Grupo","B.A. ELETROELETRONICOS LTDA","B.A. ELETROELETRONICOS LTDA.","Escritório","Encarregada de Sistema Operacional","true"
"Ninja Grupo","B.A. ELETROELETRONICOS LTDA","B.A. ELETROELETRONICOS LTDA.","Escritório","Assistente de Site","true"
"Ninja Grupo","B.A. ELETROELETRONICOS LTDA","B.A. ELETROELETRONICOS LTDA.","Loja","Gerente","true"
"Ninja Grupo","B.A. ELETROELETRONICOS LTDA","B.A. ELETROELETRONICOS LTDA.","Escritório","Auxiliar de Escrita Fiscal","true"
"OG STANDS PROMOCIONAIS LOCACOES E EMPREENDIMENTOS","OG STANDS & CENOGRAFIA","OG STANDS & CENOGRAFIA","Operacional","Encarregado Geral","true"
"MARCO ANTONIO HELFER","RIGEL MOVEIS PARA ESCRITÓRIO","RIGEL MOVEIS PARA ESCRITÓRIO","Limpeza","Faxineira","true"
"MARCO ANTONIO HELFER","RIGEL MOVEIS PARA ESCRITÓRIO","RIGEL MOVEIS PARA ESCRITÓRIO","Montagem","Montador de Móveis","true"
"Consultiva Contabilidade","SETANI & SHIROMOTO TRATAMENTOS ODONTOLOGICOS LTDA","SETANI & SHIROMOTO TRATAMENTOS ODONTOLOGICOS LTDA","Recepção","Recepcionista","true"
"APS Treinamento e Apoio Administrativo LTDA","APS TREINAMENTO E APOIO ADMINISTRATIVO LTDA","APS TREINAMENTO E APOIO ADMINISTRATIVO LTDA","Administrativo","Atendente","true"
"Manoel Jardim","CONDOMINIO EDIFICIO SAO MARCOS","CONDOMINIO EDIFICIO SAO MARCOS","Limpeza","Faxineiro","true"
"Manoel Jardim","CONDOMINIO EDIFICIO SAO MARCOS","CONDOMINIO EDIFICIO SAO MARCOS","Operacional","Vigia noturno","true"
"Manoel Jardim","CONDOMINIO EDIFICIO SAO MARCOS","CONDOMINIO EDIFICIO SAO MARCOS","Portaria","Porteiro","true"
"Manoel Jardim","CONDOMINIO EDIFICIO SAO MARCOS","CONDOMINIO EDIFICIO SAO MARCOS","Portaria","Folguista","true"
"Manoel Jardim","CONDOMINIO EDIFICIO SAO MARCOS","CONDOMINIO EDIFICIO SAO MARCOS","Zeladoria","Zelador","true"
"Manoel Jardim","CONDOMINIO EDIFICIO ALBERTO SEABRA","CONDOMINIO EDIFICIO ALBERTO SEABRA","Geral","Faxineiro","true"
"Manoel Jardim","CONDOMINIO EDIFICIO ALBERTO SEABRA","CONDOMINIO EDIFICIO ALBERTO SEABRA","Portaria","Porteiro","true"
"Manoel Jardim","FABIO TELENT ADVOGADOS ASSOCIADOS","FABIO TELENT ADVOGADOS ASSOCIADOS","Escritório","Advogado","true"
"Consultiva Contabilidade","Ana Maria de Carvalho","Ana Maria de Carvalho","Recepção","Recepcionista","true"
"Ninja Grupo","NINJA SOM COMERCIO DE ELETRONICOS - 0001-15","NINJA SOM COMERCIO DE ELETRONICOS E MAT- 0003-87","Loja","Caixa","true"
"TRANSMYM TRANSPORTE LOGISTICA E CONSERTO DE PALLET","WORD PALLET'S COMERCIO E SERVICOS EIRELI","WORD PALLET'S COMERCIO E SERVICOS EIRELI","Produção","Ajudante Geral","true"
"Consultiva Contabilidade","Tania de Abreu Barboza Grassetti","Tania de Abreu Barboza Grassetti","Recepção","Recepcionista","true"
"Valfran Organização Contabil LTDA","VALFRAN ORGANIZACAO CONTABIL","VALFRAN ORGANIZACAO CONTABIL","Interno","Assistente","true"
"Valfran Organização Contabil LTDA","GESSO AQUARIUS","GESSO AQUARIUS","PRODUÇÃO","Ajudante Geral","true"
"Valfran Organização Contabil LTDA","GESSO AQUARIUS","GESSO AQUARIUS","PRODUÇÃO","Gesseiro","true"
"CORP ENGENHARIA LTDA","CORP ENGENHARIA","CORP ENGENHARIA","Obra","Eletricista","true"
"Consultiva Contabilidade","SERGIO CELIA BRAGA","Sergio Celia Braga","Consultório","Auxiliar de Saúde Bucal","true"
"Erivaldo Joao Batista","MINIMERCADO XI","MINIMERCADO XI","Açougue","Açougueiro","true"
"Manoel Jardim","GUSTAVO COELHO RODRIGUES PET SHOP","GUSTAVO COELHO RODRIGUES PET SHOP","Operacional","Banhista","true"
"AC DA SILVA GUINCHO","AFONSO AUTO SOCORRO","AFONSO AUTO SOCORRO","Operacional","Motorista de Guincho","true"
"Contabilidade Organiza","C.F.P. - COMERCIO DE COSMETICOS E PERFUMARIA LTDA","C.F.P. - COMERCIO DE COSMETICOS E PERFUMARIA LTDA","loja","Balconista C","true"
"Contabilidade Organiza","C.F.P. - COMERCIO DE COSMETICOS E PERFUMARIA LTDA","C.F.P. - COMERCIO DE COSMETICOS E PERFUMARIA LTDA","loja","Vendedora","true"
"Contabilidade Organiza","C.F.P. - COMERCIO DE COSMETICOS E PERFUMARIA LTDA","C.F.P. - COMERCIO DE COSMETICOS E PERFUMARIA LTDA","loja","Gerente","true"
"Valfran Organização Contabil LTDA","GRUPO AURUM PLANEJADOS","GRUPO AURUM PLANEJADOS","Administração","Assistente Administrativo","true"
"ODDS Intermediação de Negócios LTDA","ODDS - INTERMEDIACAO DE NEGOCIOS","ODDS - INTERMEDIACAO DE NEGOCIOS","Administrativo","Auxiliar Administrativo IV","true"
"ODDS On-Line Serviços Empresariais LTDA","ODDS ON-LINE SERVICOS EMPRESARIAIS LTDA","ODDS ON-LINE SERVICOS EMPRESARIAIS LTDA","Fichas","Auxliar Administrativo V","true"
"ODDS On-Line Serviços Empresariais LTDA","ODDS ON-LINE SERVICOS EMPRESARIAIS LTDA","ODDS ON-LINE SERVICOS EMPRESARIAIS LTDA","Fichas","Auxliar Administrativo IV","true"
"APS Treinamento e Apoio Administrativo LTDA","APS TREINAMENTO E APOIO ADMINISTRATIVO LTDA","APS TREINAMENTO E APOIO ADMINISTRATIVO LTDA","Administrativo","Assistente Financeiro","true"
"Valfran Organização Contabil LTDA","EMAVAH INDUSTRIA E COMERCIO DE FERRAMENTAS","EMAVAH INDUSTRIA E COMERCIO DE FERRAMENTAS","Produção","Torneiro (Torno Automático / Révolver)","true"
"Ninja Grupo","NINJA SOM COMERCIO DE ELETRONICOS - 0001-15","NINJA SOM COMERCIO DE ELETRONICOS E MAT- 0011-97","Estoque","Estoquista","true"
"A DIGIFORTE TECNOLOGIA LTDA","A DIGIFORTE TECNOLOGIA LTDA","A DIGIFORTE TECNOLOGIA LTDA","Operacional","Agente de Registro Jr.","true"
"A DIGIFORTE TECNOLOGIA LTDA","A DIGIFORTE TECNOLOGIA LTDA","A DIGIFORTE TECNOLOGIA LTDA","Operacional","Agente de Registro","true"
"A DIGIFORTE TECNOLOGIA LTDA","A DIGIFORTE TECNOLOGIA LTDA","A DIGIFORTE TECNOLOGIA LTDA","Operacional","Agente de Registro Pleno","true"
"A DIGIFORTE TECNOLOGIA LTDA","ACAO CERTIFICADORA","ACAO CERTIFICADORA","Operacional","Agente de Registro Pleno","true"
"A DIGIFORTE TECNOLOGIA LTDA","ACAO CERTIFICADORA","ACAO CERTIFICADORA","Operacional","Agente de Registro Jr.","true"
"Valfran Organização Contabil LTDA","EMAVAH INDUSTRIA E COMERCIO DE FERRAMENTAS","EMAVAH INDUSTRIA E COMERCIO DE FERRAMENTAS","Produção","Encarregado de Produção","true"
"CONCESSIONÁRIA RODOANEL NORTE SPE S/A.","CONCESSIONÁRIA RODOANEL NORTE SPE S/A.","VIA SPSERRA","Engenharia e Projetos","Analista de Engenharia - Cadista","true"
"Flavia Fukuya Ohno","Flavia Fukuya Ohno","Flavia Fukuya Ohno","Consultório Odontológico","Recepcionista","true"
"CONCESSIONÁRIA RODOANEL NORTE SPE S/A.","CONCESSIONÁRIA RODOANEL NORTE SPE S/A.","VIA SPSERRA","Meio Ambiente e Sustentabilidade","Técnico de Meio Ambiente","true"
"Consultiva Contabilidade","ANA CAROLINA RODRIGUES MAGNOLI","ANA CAROLINA RODRIGUES MAGNOLI","Consultório Odontológico","Auxiliar de Saúde Bucal","true"
"CONCESSIONÁRIA RODOANEL NORTE SPE S/A.","CONCESSIONÁRIA RODOANEL NORTE SPE S/A.","VIA SPSERRA","Comunicação e Suporte Administrativo","Coordenador de Medição","true"
"Consultiva Contabilidade","Elessandra Cristina de Santana","Elessandra Cristina de Santana","Consultório","Auxiliar de Saúde Bucal","true"
"MARCO ANTONIO HELFER","RIGEL MOVEIS PARA ESCRITÓRIO","RIGEL MOVEIS PARA ESCRITÓRIO","Transporte","Motorista","true"
"Condomínio Edifício Antônio Duarte","Condomínio Edifício Antônio Duarte","Condomínio Edifício Antônio Duarte","Limpeza","Faxineiro","true"
"Ninja Grupo","NINJA SOM COMERCIO DE ELETRONICOS - 0001-15","NINJA SOM COMERCIO DE ELETRONICOS E MATERIAIS LTDA","Loja","Estoquista","true"
"CONCESSIONÁRIA RODOANEL NORTE SPE S/A.","CONCESSIONÁRIA RODOANEL NORTE SPE S/A.","CONCESSIONÁRIA RODOANEL NORTE SPE S/A.","Obra","Inspetor de Campo","true"
"T Japan Serviços Automotivos Ltda","T JAPAN SERVICOS AUTOMOTIVOS","T JAPAN SERVICOS AUTOMOTIVOS","Serviços","AUXILIAR DE MECANICO","true"
"T Japan Serviços Automotivos Ltda","T JAPAN SERVICOS AUTOMOTIVOS","T JAPAN SERVICOS AUTOMOTIVOS","Serviços","MECANICO PLENO","true"
"APS Treinamento e Apoio Administrativo LTDA","APS TREINAMENTO E APOIO ADMINISTRATIVO LTDA","APS TREINAMENTO E APOIO ADMINISTRATIVO LTDA","Comercial","Atendente","true"
"Pluggy Brasil Instituicao De Pagamento Ltda","PLUGGY","PLUGGY","Administrativo","Analista de suporte","true"
"Consultiva Contabilidade","P Y SEINO ODONTOLOGIA ESPECIALIZADA LTDA","P Y SEINO ODONTOLOGIA ESPECIALIZADA LTDA","Recepção","Secretária","true"
"Lume Engenharia E Consultoria","LUME ENGENHARIA E CONSULTORIA","LUME ENGENHARIA E CONSULTORIA","Administrativo","Engenheiro de Segurança do Trabalho","true"
"Lume Engenharia E Consultoria","LUME ENGENHARIA E CONSULTORIA","LUME ENGENHARIA E CONSULTORIA","Comercial","Assistente Comercial Pleno","true"
"A DIGIFORTE TECNOLOGIA LTDA","A DIGIFORTE TECNOLOGIA LTDA","A DIGIFORTE TECNOLOGIA LTDA","Comercial","AGENTE DE REGISTRO SENIOR","true"
"A DIGIFORTE TECNOLOGIA LTDA","A DIGIFORTE TECNOLOGIA LTDA","A DIGIFORTE TECNOLOGIA LTDA","Comercial","Agente de Registro Jr.","true"
"A DIGIFORTE TECNOLOGIA LTDA","A DIGIFORTE TECNOLOGIA LTDA","A DIGIFORTE TECNOLOGIA LTDA","Comercial","Agente de Registro Pleno","true"
"A DIGIFORTE TECNOLOGIA LTDA","A DIGIFORTE TECNOLOGIA LTDA","A DIGIFORTE TECNOLOGIA LTDA","Administrativo","Assistente Administrativo","true"
"VETMINAS PRODUTOS VETERINARIOS LTDA.","VETMINAS PRODUTOS VETERINARIOS LTDA.","VETMINAS PRODUTOS VETERINARIOS LTDA","Caixa Fechada","Auxiliar de Expedição - Setor: Caixa Fechada","true"
"Audicap Contabilidade S/A","Centro de Inf. e Apoio ao Trabalhador no Exterior","Centro de Inf. e Apoio ao Trabalhador no Exterior","Administrativo","Auxiliar Administrativo","true"
"Pluggy Brasil Instituicao De Pagamento Ltda","PLUGGY","PLUGGY","Administrativo","Representante de desenvolvimento de negócios","true"
"Lirio Cafe E Bistro Ltda","LÍRIO CAFÉ E BISTRÔ","LÍRIO CAFÉ E BISTRÔ","Cozinha","Cozinheira","true"
"CORP ENGENHARIA LTDA","CORP ENGENHARIA","CORP ENGENHARIA","Obra","Assistente de Engenharia","true"
"Consultiva Contabilidade","Rafaela Cordista Faria Cinacchi","Rafaela Cordista Faria Cinacchi","Recepção","Secretária","true"
"Botica APS Farmácia de Manipulação LTDA.","BOTICA APS FARMACIA DE MANIPULACAO LTDA","BOTICA APS FARMACIA DE MANIPULACAO LTDA","Farmácia","Auxiliar Administrativo","true"
"Rachel Cabeleireiras LTDA","RACHEL CABELEIREIRAS LTDA","RACHEL CABELEIREIRAS LTDA","Salão","Cabeleireiro","true"
"Rachel Cabeleireiras LTDA","RACHEL CABELEIREIRAS LTDA","RACHEL CABELEIREIRAS LTDA","Limpeza","Auxiliar de Serviços Gerais","true"
"SEAMED MATERIAIS HOSPITALARES LTDA","SEAMED MATERIAIS HOSPITALARES LTDA","SEAMED MATERIAIS HOSPITALARES LTDA","Operacional","Supervisora Facility","true"
"SEAMED MATERIAIS HOSPITALARES LTDA","SEAMED MATERIAIS HOSPITALARES LTDA","SEAMED MATERIAIS HOSPITALARES LTDA","Administrativo /Comercial","Assistente de Vendas","true"
"APS Treinamento e Apoio Administrativo LTDA","APS TREINAMENTO E APOIO ADMINISTRATIVO LTDA","APS TREINAMENTO E APOIO ADMINISTRATIVO LTDA","Administrativo","Assistente Administrativo","true"
"Aromas Da Natureza Nobre Comercio De Saneantes E C","Aromas Da Natureza","AROMAS DA NATUREZA","Comercial","Assistente Comercial","true"
"Daiara Almeida Oliveira","Daiara Almeida Oliveira","Daiara Almeida Oliveira","Consultório","Recepcionista","true"
"Prime Manutenção Automotiva","SMART MOTORS","SMART MOTORS","Oficina","Montador de Veiculos","true"
"Prime Manutenção Automotiva","SMART MOTORS","SMART MOTORS","Oficina","1/2 Oficial Montador Veiculos","true"
"Consultiva Contabilidade","CINTHYA MASSARI GRECO","CINTHYA MASSARI GRECO","Consultório","Auxiliar de saúde Bucal","true"
"ESCOLA DE ENSINO FUNDAMENTAL AVALON LTDA","ESCOLA DE ENSINO FUNDAMENTAL AVALON LTDA","ESCOLA DE ENSINO FUNDAMENTAL AVALON LTDA","Sala de Aula","Professor(a)","true"
"Jovelina Francisca Dos Santos","JOVELINA FRANCISCA DOS SANTOS","JOVELINA FRANCISCA DOS SANTOS","Cozinha","Auxiliar nos Serviços de Alimentação","true"
"VETMINAS PRODUTOS VETERINARIOS LTDA.","VETMINAS PRODUTOS VETERINARIOS LTDA.","VETMINAS PRODUTOS VETERINARIOS LTDA","Reposição de estoque","Encarregada de Reposição - Setor: Reposição de estoque","true"
"VETMINAS PRODUTOS VETERINARIOS LTDA.","VETMINAS PRODUTOS VETERINARIOS LTDA.","VETMINAS PRODUTOS VETERINARIOS LTDA","Conferência","Auxiliar de Expedição II - Setor: Conferência","true"
"Contabilidade Ligia","SAO CAETANO GUINCHOS","SAO CAETANO GUINCHOS","Externo","Motorista de Guincho Leve","true"
"CIDEP CENTRO INTEGRADO DE DIABETES, ENDOCRINOLOGIA","CIDEP CENTRO INTEGRADO DE DIABETES, ENDOCRINOLOGIA PEDIATRICA E ODONTOLOGIA LTDA","CIDEP CENTRO INTEGRADO DE DIABETES, ENDOCRINOLOGIA PEDIATRICA E ODONTOLOGIA LTDA","Administrativo","Gerente Administrativo","true"
"Aromas Da Natureza Nobre Comercio De Saneantes E C","Aromas Da Natureza","AROMAS DA NATUREZA","Comercial","Coodernador Administrativo","true"
"Proconsult Assessoria Empresarial LTDA","TND COMERCIAL ELETRONICA LTDA","TND COMERCIAL ELETRONICA LTDA","Financeiro","Assistente Financeiro","true"
"Proconsult Assessoria Empresarial LTDA","TND COMERCIAL ELETRONICA LTDA","TND COMERCIAL ELETRONICA LTDA","Vendas","Auxiliar de Vendas","true"
"Proconsult Assessoria Empresarial LTDA","TND COMERCIAL ELETRONICA LTDA","TND COMERCIAL ELETRONICA LTDA","Estoque","Auxiliar de Estoque","true"
"Proconsult Assessoria Empresarial LTDA","TND COMERCIAL ELETRONICA LTDA","TND COMERCIAL ELETRONICA LTDA","Produção","Web Designer","true"
"Proconsult Assessoria Empresarial LTDA","TND COMERCIAL ELETRONICA LTDA","TND COMERCIAL ELETRONICA LTDA","Limpeza","Auxiliar de Limpeza","true"
"Proconsult Assessoria Empresarial LTDA","TND COMERCIAL ELETRONICA LTDA","TND COMERCIAL ELETRONICA LTDA","Almoxarifado","Auxiliar de Almoxarifado","true"
"Proconsult Assessoria Empresarial LTDA","TND COMERCIAL ELETRONICA LTDA","TND COMERCIAL ELETRONICA LTDA","Administrativo","Assistente de Escritório","true"
"Proconsult Assessoria Empresarial LTDA","TND COMERCIAL ELETRONICA LTDA","TND COMERCIAL ELETRONICA LTDA","Almoxarifado","Ajudante de Almoxarifado","true"
"Consultiva Contabilidade","Rosane Mayumi Yuda","Rosane Mayumi Yuda","Consultorio","Auxiliar de Servicos Gerais","true"
"Consultiva Contabilidade","Rosane Mayumi Yuda","Rosane Mayumi Yuda","Consultorio","Recepcionista","true"
"Contabilidade Ligia","LUANA BATISTA SIMOES DE FREITAS","LUANA BATISTA SIMOES DE FREITAS","Loja","Ajudante Geral do Comércio","true"
"Consultiva Contabilidade","Luiz Merlo Junior","Luiz Merlo Junior","Consultório","Auxiliar de Saúde Bucal","true"
"Contabilidade Organiza","URBE HAIR INSTITUTO DE BELEZA LTDA","URBE HAIR INSTITUTO DE BELEZA LTDA","Recepção","Recepcionista","true"
"Proconsult Assessoria Empresarial LTDA","NACEL NACIONAL ELETRO-ELETRONICA LTDA","NACEL NACIONAL ELETRO-ELETRONICA LTDA","Informática","Técnico Infra Estrutura T.I","true"
"Proconsult Assessoria Empresarial LTDA","NACEL NACIONAL ELETRO-ELETRONICA LTDA","NACEL NACIONAL ELETRO-ELETRONICA LTDA","Vendas","Vendedora Senior","true"
"Proconsult Assessoria Empresarial LTDA","NACEL NACIONAL ELETRO-ELETRONICA LTDA","NACEL NACIONAL ELETRO-ELETRONICA LTDA","Financeiro","Assistente Financeiro","true"
"Proconsult Assessoria Empresarial LTDA","NACEL NACIONAL ELETRO-ELETRONICA LTDA","NACEL NACIONAL ELETRO-ELETRONICA LTDA","Estoque","Estoquista","true"
"Consultiva Contabilidade","SUAVS ODONTOLOGIA MODERNA","SUAVS ODONTOLOGIA MODERNA","Consultório","Secretária","true"
"Consultiva Contabilidade","SUAVS ODONTOLOGIA MODERNA","SUAVS ODONTOLOGIA MODERNA","Consultório","Auxiliar de Limpeza","true"
"Santarossa & Gomes Clinica Medica Ltda","SANTAROSSA & GOMES CLINICA MEDICA LTDA","SANTAROSSA & GOMES CLINICA MEDICA LTDA","Recepção","Recepcionista","true"
"Kenji Kiyohara Consultoria e Assessoria Contábil","Kenji Kiyohara Consultoria e Assessoria Contábil","Kenji Kiyohara Consultoria e Assessoria Contábil","Escritório","Auxiliar de Escritório","true"
"Consultiva Contabilidade","CDC ODONTOLOGIA PREVENTIVA S/S","CDC ODONTOLOGIA PREVENTIVA S/S","Consultório Odontológico","Auxiliar de Saúde Bucal","true"
"Botica APS Farmácia de Manipulação LTDA.","BOTICA APS FARMACIA DE MANIPULACAO LTDA","BOTICA APS FARMACIA DE MANIPULACAO LTDA","Administrativo","Auxiliar Administrativo","true"
"ORGANIZACAO DE DESPACHOS FEIJO S.S. LTDA","ORGANIZACAO DE DESPACHOS FEIJO S.S. LTDA","ORGANIZACAO DE DESPACHOS FEIJO S.S. LTDA","Escritório","Auxiliar Administrativo","true"
"ORGANIZACAO DE DESPACHOS FEIJO S.S. LTDA","ORGANIZACAO DE DESPACHOS FEIJO S.S. LTDA","ORGANIZACAO DE DESPACHOS FEIJO S.S. LTDA","Escritório","Auxiliar de Escritório","true"
"Folha & Vida produtos Naturais LTDA","EMPORIO FOLHA & VIDA","EMPORIO FOLHA & VIDA","Vendas","Vendedor","true"
"Consultiva Contabilidade","Claudia da Silva Castro","Claudia da Silva Castro","Recepção","Recepcionista","true"
"OG STANDS PROMOCIONAIS LOCACOES E EMPREENDIMENTOS","OG STANDS & CENOGRAFIA","OG STANDS & CENOGRAFIA","Operacional","Auxiliar de Almoxarifado","true"
"RITA DE CASSIA PEREIRA PIRES SOCIEDADE INDIVIDUAL","RITA DE CASSIA PEREIRA PIRES SOCIEDADE INDIVIDUAL DE ADVOCACIA","RITA DE CASSIA PEREIRA PIRES SOCIEDADE INDIVIDUAL DE ADVOCACIA","Escritório","Auxiliar de Escritório","true"
"Consultiva Contabilidade","Marta Martins Meireles","Marta Martins Meireles","Administrativo","Auxiliar Administrativo","true"
"Associações Colônias Japonesas","ASSOCIACAO CULTURAL EHIME KENJIN DO BRASIL","ASSOCIACAO CULTURAL EHIME KENJIN DO BRASIL","Geral","Zeladora","true"
"LAB ONE LABORATORIO DE ANALISES CLINICAS LTDA","LAB ONE LABORATORIO DE ANALISES CLINICAS LTDA","LAB ONE LABORATORIO DE ANALISES CLINICAS LTDA","Administrativo","Assistente Administrativo","true"
"Consultiva Contabilidade","Audrei Lia Simony Rocco","Audrei Lia Simony Rocco","Consultório Odontológico","Auxiliar de Saúde Bucal","true"
"Manoel Jardim","GUSTAVO COELHO RODRIGUES PET SHOP","GUSTAVO COELHO RODRIGUES PET SHOP","Operacional","Tosador","true"
