cnae_tronco,cnae_completo,descricao_cnae,grau_risco,fonte
10996,1099-6/05,"Fabricação de produtos para infusão (chá, mate, etc.)",3,NR-04 Anexo I
10996,1099-6/06,Fabricação de adoçantes naturais e artificiais,3,NR-04 Anexo I
10996,1099-6/07,Fabricação de alimentos dietéticos e complementos alimentares,3,NR-04 Anexo I
10996,1099-6/99,Fabricação de outros produtos alimentícios não especificados anteriormente,3,NR-04 Anexo I
11135,1113-5/01,"Fabricação de malte, inclusive malte uísque",3,NR-04 Anexo I
11135,1113-5/02,Fabricação de cervejas e chopes,3,NR-04 Anexo I
11224,1122-4/01,Fabricação de refrigerantes,3,NR-04 Anexo I
11224,1122-4/02,Fabricação de chá mate e outros chás prontos para consumo,3,NR-04 Anexo I
11224,1122-4/03,"Fabricação de refrescos, xaropes e pós para refrescos, exceto refrescos de frutas",3,NR-04 Anexo I
11224,1122-4/04,Fabricação de bebidas isotônicas,3,NR-04 Anexo I
11224,1122-4/99,Fabricação de outras bebidas não alcoólicas não especificadas anteriormente,3,NR-04 Anexo I
12107,1210-7/00,Processamento industrial do fumo,3,NR-04 Anexo I
12204,1220-4/01,Fabricação de cigarros,3,NR-04 Anexo I
12204,1220-4/02,Fabricação de cigarrilhas e charutos,3,NR-04 Anexo I
12204,1220-4/03,Fabricação de filtros para cigarros,3,NR-04 Anexo I
12204,1220-4/99,"Fabricação de outros produtos do fumo, exceto cigarros, cigarrilhas e charutos",3,NR-04 Anexo I
13111,1311-1/00,Preparação e fiação de fibras de algodão,3,NR-04 Anexo I
13120,1312-0/00,"Preparação e fiação de fibras têxteis naturais, exceto algodão",3,NR-04 Anexo I
13138,1313-8/00,Fiação de fibras artificiais e sintéticas,3,NR-04 Anexo I
13146,1314-6/00,Fabricação de linhas para costurar e bordar,3,NR-04 Anexo I
13219,1321-9/00,Tecelagem de fios de algodão,3,NR-04 Anexo I
13227,1322-7/00,"Tecelagem de fios de fibras têxteis naturais, exceto algodão",3,NR-04 Anexo I
13235,1323-5/00,Tecelagem de fios de fibras artificiais e sintéticas,3,NR-04 Anexo I
13308,1330-8/00,Fabricação de tecidos de malha,3,NR-04 Anexo I
13405,1340-5/01,"Estamparia e texturização em fios, tecidos, artefatos têxteis e peças do vestuário",3,NR-04 Anexo I
13405,1340-5/02,"Alvejamento, tingimento e torção em fios, tecidos, artefatos têxteis e peças do vestuário",3,NR-04 Anexo I
13405,1340-5/99,"Outros serviços de acabamento em fios, tecidos, artefatos têxteis e peças do vestuário",3,NR-04 Anexo I
13511,1351-1/00,Fabricação de artefatos têxteis para uso doméstico,3,NR-04 Anexo I
13529,1352-9/00,Fabricação de artefatos de tapeçaria,3,NR-04 Anexo I
13537,1353-7/00,Fabricação de artefatos de cordoaria,3,NR-04 Anexo I
13545,1354-5/00,"Fabricação de tecidos especiais, inclusive artefatos",3,NR-04 Anexo I
13596,1359-6/00,Fabricação de outros produtos têxteis não especificados anteriormente,3,NR-04 Anexo I
14118,1411-8/01,Confecção de roupas íntimas,2,NR-04 Anexo I
14118,1411-8/02,Facção de roupas íntimas,2,NR-04 Anexo I
14126,1412-6/01,"Confecção de peças do vestuário, exceto roupas íntimas e as confeccionadas sob medida",2,NR-04 Anexo I
14126,1412-6/02,"Confecção, sob medida, de peças do vestuário, exceto roupas íntimas",2,NR-04 Anexo I
14126,1412-6/03,"Facção de peças do vestuário, exceto roupas íntimas",2,NR-04 Anexo I
14134,1413-4/01,"Confecção de roupas profissionais, exceto sob medida",2,NR-04 Anexo I
14134,1413-4/02,"Confecção, sob medida, de roupas profissionais",2,NR-04 Anexo I
14134,1413-4/03,Facção de roupas profissionais,2,NR-04 Anexo I
14142,1414-2/00,"Fabricação de acessórios do vestuário, exceto para segurança e proteção",2,NR-04 Anexo I
14215,1421-5/00,Fabricação de meias,2,NR-04 Anexo I
14223,1422-3/00,"Fabricação de artigos do vestuário, produzidos em malharias e tricotagens, exceto meias",2,NR-04 Anexo I
15106,1510-6/00,Curtimento e outras preparações de couro,3,NR-04 Anexo I
15211,1521-1/00,"Fabricação de artigos para viagem, bolsas e semelhantes de qualquer material",2,NR-04 Anexo I
15297,1529-7/00,Fabricação de artefatos de couro não especificados anteriormente,2,NR-04 Anexo I
15319,1531-9/01,Fabricação de calçados de couro,3,NR-04 Anexo I
15319,1531-9/02,Acabamento de calçados de couro sob contrato,3,NR-04 Anexo I
15327,1532-7/00,Fabricação de tênis de qualquer material,3,NR-04 Anexo I
15335,1533-5/00,Fabricação de calçados de material sintético,3,NR-04 Anexo I
15394,1539-4/00,"Fabricação de calçados de materiais não especificados
anteriormente",3,NR-04 Anexo I
15408,1540-8/00,"Fabricação de partes para calçados, de qualquer material",3,NR-04 Anexo I
16102,1610-2/03,Serrarias com desdobramento de madeira em bruto,3,NR-04 Anexo I
16102,1610-2/04,Serrarias sem desdobramento de madeira em bruto - Resseragem,3,NR-04 Anexo I
16102,1610-2/05,Serviço de tratamento de madeira realizado sob contrato,3,NR-04 Anexo I
16218,1621-8/00,"Fabricação de madeira laminada e de chapas de madeira compensada, prensada e aglomerada",3,NR-04 Anexo I
16226,1622-6/01,Fabricação de casas de madeira pré-fabricadas,3,NR-04 Anexo I
16226,1622-6/02,Fabricação de esquadrias de madeira e de peças de madeira para instalações industriais e comerciais,3,NR-04 Anexo I
16226,1622-6/99,Fabricação de outros artigos de carpintaria para construção,3,NR-04 Anexo I
16234,1623-4/00,Fabricação de artefatos de tanoaria e de embalagens de madeira,3,NR-04 Anexo I
16293,1629-3/01,"Fabricação de artefatos diversos de madeira, exceto móveis",3,NR-04 Anexo I
16293,1629-3/02,"Fabricação de artefatos diversos de cortiça, bambu, palha, vime e outros materiais trançados, exceto móveis",3,NR-04 Anexo I
17109,1710-9/00,Fabricação de celulose e outras pastas para a fabricação de papel,3,NR-04 Anexo I
17214,1721-4/00,Fabricação de papel,3,NR-04 Anexo I
17222,1722-2/00,Fabricação de cartolina e papel-cartão,3,NR-04 Anexo I
17311,1731-1/00,Fabricação de embalagens de papel,2,NR-04 Anexo I
17320,1732-0/00,Fabricação de embalagens de cartolina e papel-cartão,2,NR-04 Anexo I
17338,1733-8/00,Fabricação de chapas e de embalagens de papelão ondulado,2,NR-04 Anexo I
17419,1741-9/01,Fabricação de formulários contínuos,2,NR-04 Anexo I
17419,1741-9/02,"Fabricação de produtos de papel, cartolina, papel-cartão e papelão ondulado para uso comercial e de escritório",2,NR-04 Anexo I
17427,1742-7/01,Fabricação de fraldas descartáveis,2,NR-04 Anexo I
17427,1742-7/02,Fabricação de absorventes higiênicos,2,NR-04 Anexo I
17427,1742-7/99,Fabricação de produtos de papel para uso doméstico e higiênico-sanitário não especificados anteriormente,2,NR-04 Anexo I
17494,1749-4/00,"Fabricação de produtos de pastas celulósicas, papel, cartolina, papel-cartão e papelão ondulado não especificados anteriormente",2,NR-04 Anexo I
18113,1811-3/01,Impressão de jornais,3,NR-04 Anexo I
18113,1811-3/02,"Impressão de livros, revistas e outras publicações periódicas",3,NR-04 Anexo I
18121,1812-1/00,Impressão de material de segurança,3,NR-04 Anexo I
18130,1813-0/01,Impressão de material para uso publicitário,3,NR-04 Anexo I
18130,1813-0/99,Impressão de material para outros usos,3,NR-04 Anexo I
18211,1821-1/00,Serviços de pré-impressão,3,NR-04 Anexo I
18229,1822-9/01,Serviços de encadernação e plastificação,3,NR-04 Anexo I
18229,1822-9/99,"Serviços de acabamentos gráficos, exceto encadernação e plastificação",3,NR-04 Anexo I
18300,1830-0/01,Reprodução de som em qualquer suporte,3,NR-04 Anexo I
18300,1830-0/02,Reprodução de vídeo em qualquer suporte,3,NR-04 Anexo I
18300,1830-0/03,Reprodução de software em qualquer suporte,3,NR-04 Anexo I
19101,1910-1/00,Coquerias,3,NR-04 Anexo I
19217,1921-7/00,Fabricação de produtos do refino de petróleo,3,NR-04 Anexo I
19225,1922-5/01,Formulação de combustíveis,3,NR-04 Anexo I
19225,1922-5/02,Rerrefino de óleos lubrificantes,3,NR-04 Anexo I
19225,1922-5/99,"Fabricação de outros produtos derivados do petróleo, exceto produtos do refino",3,NR-04 Anexo I
19314,1931-4/00,Fabricação de álcool,3,NR-04 Anexo I
19322,1932-2/00,"Fabricação de biocombustíveis, exceto álcool",3,NR-04 Anexo I
20118,2011-8/00,Fabricação de cloro e álcalis,3,NR-04 Anexo I
20126,2012-6/00,Fabricação de intermediários para fertilizantes,3,NR-04 Anexo I
20134,2013-4/01,Fabricação de adubos e fertilizantes organo-minerais,3,NR-04 Anexo I
20134,2013-4/02,"Fabricação de adubos e fertilizantes, exceto organo-minerais",3,NR-04 Anexo I
20142,2014-2/00,Fabricação de gases industriais,3,NR-04 Anexo I
20193,2019-3/01,Elaboração de combustíveis nucleares,3,NR-04 Anexo I
20193,2019-3/99,Fabricação de outros produtos químicos inorgânicos não especificados anteriormente,3,NR-04 Anexo I
20215,2021-5/00,Fabricação de produtos petroquímicos básicos,3,NR-04 Anexo I
20223,2022-3/00,"Fabricação de intermediários para plastificantes, resinas e fibras",3,NR-04 Anexo I
20291,2029-1/00,Fabricação de produtos químicos orgânicos não especificados anteriormente,3,NR-04 Anexo I
20312,2031-2/00,Fabricação de resinas termoplásticas,3,NR-04 Anexo I
20321,2032-1/00,Fabricação de resinas termofixas,3,NR-04 Anexo I
20339,2033-9/00,Fabricação de elastômeros,3,NR-04 Anexo I
20401,2040-1/00,Fabricação de fibras artificiais e sintéticas,3,NR-04 Anexo I
20517,2051-7/00,Fabricação de defensivos agrícolas,3,NR-04 Anexo I
20525,2052-5/00,Fabricação de desinfestantes domissanitários,3,NR-04 Anexo I
20614,2061-4/00,Fabricação de sabões e detergentes sintéticos,3,NR-04 Anexo I
20622,2062-2/00,Fabricação de produtos de limpeza e polimento,3,NR-04 Anexo I
20631,2063-1/00,"Fabricação de cosméticos, produtos de perfumaria e de higiene pessoal",2,NR-04 Anexo I
20711,2071-1/00,"Fabricação de tintas, vernizes, esmaltes e lacas",3,NR-04 Anexo I
20720,2072-0/00,Fabricação de tintas de impressão,3,NR-04 Anexo I
20738,2073-8/00,"Fabricação de impermeabilizantes, solventes e produtos afins",3,NR-04 Anexo I
20916,2091-6/00,Fabricação de adesivos e selantes,3,NR-04 Anexo I
20924,2092-4/01,"Fabricação de pólvoras, explosivos e detonantes",4,NR-04 Anexo I
20924,2092-4/02,Fabricação de artigos pirotécnicos,4,NR-04 Anexo I
20924,2092-4/03,Fabricação de fósforos de segurança,4,NR-04 Anexo I
20932,2093-2/00,Fabricação de aditivos de uso industrial,3,NR-04 Anexo I
20941,2094-1/00,Fabricação de catalisadores,3,NR-04 Anexo I
20991,2099-1/01,"Fabricação de chapas, filmes, papéis e outros materiais e produtos químicos para fotografia",3,NR-04 Anexo I
20991,2099-1/99,Fabricação de outros produtos químicos não especificados anteriormente,3,NR-04 Anexo I
21106,2110-6/00,Fabricação de produtos farmoquímicos,3,NR-04 Anexo I
21211,2121-1/01,Fabricação de medicamentos alopáticos para uso humano,3,NR-04 Anexo I
21211,2121-1/02,Fabricação de medicamentos homeopáticos para uso humano,3,NR-04 Anexo I
21211,2121-1/03,Fabricação de medicamentos fitoterápicos para uso humano,3,NR-04 Anexo I
21220,2122-0/00,Fabricação de medicamentos para uso veterinário,3,NR-04 Anexo I
21238,2123-8/00,Fabricação de preparações farmacêuticas,3,NR-04 Anexo I
22111,2211-1/00,Fabricação de pneumáticos e de câmaras-de-ar,3,NR-04 Anexo I
22129,2212-9/00,Reforma de pneumáticos usados,3,NR-04 Anexo I
22196,2219-6/00,"Fabricação de artefatos de borracha não especificados 
anteriormente",3,NR-04 Anexo I
22218,2221-8/00,Fabricação de laminados planos e tubulares de material plástico,3,NR-04 Anexo I
22226,2222-6/00,Fabricação de embalagens de material plástico,3,NR-04 Anexo I
22234,2223-4/00,Fabricação de tubos e acessórios de material plástico para uso na construção,3,NR-04 Anexo I
22293,2229-3/01,Fabricação de artefatos de material plástico para uso pessoal e doméstico,3,NR-04 Anexo I
22293,2229-3/02,Fabricação de artefatos de material plástico para usos industriais,3,NR-04 Anexo I
22293,2229-3/03,"Fabricação de artefatos de material plástico para uso na construção, exceto tubos e acessórios",3,NR-04 Anexo I
22293,2229-3/99,Fabricação de artefatos de material plástico para outros usos não especificados anteriormente,3,NR-04 Anexo I
23117,2311-7/00,Fabricação de vidro plano e de segurança,3,NR-04 Anexo I
23125,2312-5/00,Fabricação de embalagens de vidro,3,NR-04 Anexo I
23192,2319-2/00,Fabricação de artigos de vidro,3,NR-04 Anexo I
23206,2320-6/00,Fabricação de cimento,4,NR-04 Anexo I
23303,2330-3/01,"Fabricação de estruturas pré-moldadas de concreto armado, em série e sob encomenda",4,NR-04 Anexo I
23303,2330-3/02,Fabricação de artefatos de cimento para uso na construção,4,NR-04 Anexo I
23303,2330-3/03,Fabricação de artefatos de fibrocimento para uso na construção,4,NR-04 Anexo I
23303,2330-3/04,Fabricação de casas pré-moldadas de concreto,4,NR-04 Anexo I
23303,2330-3/05,Preparação de massa de concreto e argamassa para construção,4,NR-04 Anexo I
23303,2330-3/99,"Fabricação de outros artefatos e produtos de concreto, cimento, fibrocimento, gesso e materiais semelhantes",4,NR-04 Anexo I
23419,2341-9/00,Fabricação de produtos cerâmicos refratários,4,NR-04 Anexo I
23427,2342-7/01,Fabricação de azulejos e pisos,3,NR-04 Anexo I
23427,2342-7/02,"Fabricação de artefatos de cerâmica e barro cozido para uso na construção, exceto azulejos e pisos",3,NR-04 Anexo I
23494,2349-4/01,Fabricação de material sanitário de cerâmica,4,NR-04 Anexo I
23494,2349-4/99,Fabricação de produtos cerâmicos não refratários não especificados anteriormente,4,NR-04 Anexo I
23915,2391-5/01,"Britamento de pedras, exceto associado à extração",3,NR-04 Anexo I
23915,2391-5/02,"Aparelhamento de pedras para construção, exceto associado à extração",3,NR-04 Anexo I
23915,2391-5/03,"Aparelhamento de placas e execução de trabalhos em mármore, granito, ardósia e outras pedras",3,NR-04 Anexo I
23923,2392-3/00,Fabricação de cal e gesso,4,NR-04 Anexo I
23991,2399-1/01,"Decoração, lapidação, gravação, vitrificação e outros trabalhos em cerâmica, louça, vidro e cristal",3,NR-04 Anexo I
23991,2399-1/02,Fabricação de abrasivos,3,NR-04 Anexo I
23991,2399-1/99,Fabricação de outros produtos de minerais não metálicos não especificados anteriormente,3,NR-04 Anexo I
24113,2411-3/00,Produção de ferro-gusa,4,NR-04 Anexo I
24121,2412-1/00,Produção de ferroligas,4,NR-04 Anexo I
24211,2421-1/00,Produção de semiacabados de aço,4,NR-04 Anexo I
24229,2422-9/01,"Produção de laminados planos de aço ao carbono, revestidos ou não",4,NR-04 Anexo I
24229,2422-9/02,Produção de laminados planos de aços especiais,4,NR-04 Anexo I
24237,2423-7/01,Produção de tubos de aço sem costura,4,NR-04 Anexo I
24237,2423-7/02,"Produção de laminados longos de aço, exceto tubos",4,NR-04 Anexo I
24245,2424-5/01,Produção de arames de aço,4,NR-04 Anexo I
24245,2424-5/02,"Produção de relaminados, trefilados e perfilados de aço, exceto arames",4,NR-04 Anexo I
24318,2431-8/00,Produção de tubos de aço com costura,4,NR-04 Anexo I
24393,2439-3/00,Produção de outros tubos de ferro e aço,4,NR-04 Anexo I
24415,2441-5/01,Produção de alumínio e suas ligas em formas primárias,4,NR-04 Anexo I
24415,2441-5/02,Produção de laminados de alumínio,4,NR-04 Anexo I
24423,2442-3/00,Metalurgia dos metais preciosos,4,NR-04 Anexo I
24431,2443-1/00,Metalurgia do cobre,4,NR-04 Anexo I
24491,2449-1/01,Produção de zinco em formas primárias,4,NR-04 Anexo I
24491,2449-1/02,Produção de laminados de zinco,4,NR-04 Anexo I
24491,2449-1/03,Fabricação de ânodos para galvanoplastia,4,NR-04 Anexo I
24491,2449-1/99,Metalurgia de outros metais não ferrosos e suas ligas não especificados anteriormente,4,NR-04 Anexo I
24512,2451-2/00,Fundição de ferro e aço,4,NR-04 Anexo I
24521,2452-1/00,Fundição de metais não ferrosos e suas ligas,4,NR-04 Anexo I
25110,2511-0/00,Fabricação de estruturas metálicas,4,NR-04 Anexo I
25128,2512-8/00,Fabricação de esquadrias de metal,3,NR-04 Anexo I
25136,2513-6/00,Fabricação de obras de caldeiraria pesada,3,NR-04 Anexo I
25217,2521-7/00,"Fabricação de tanques, reservatórios metálicos e caldeiras para aquecimento central",3,NR-04 Anexo I
25225,2522-5/00,"Fabricação de caldeiras geradoras de vapor, exceto para aquecimento central e para veículos",3,NR-04 Anexo I
25314,2531-4/01,Produção de forjados de aço,4,NR-04 Anexo I
25314,2531-4/02,Produção de forjados de metais não ferrosos e suas ligas,4,NR-04 Anexo I
25322,2532-2/01,Produção de artefatos estampados de metal,4,NR-04 Anexo I
25322,2532-2/02,Metalurgia do pó,4,NR-04 Anexo I
25390,2539-0/01,"Serviços de usinagem, torneiria e solda",4,NR-04 Anexo I
25390,2539-0/02,Serviços de tratamento e revestimento em metais,4,NR-04 Anexo I
25411,2541-1/00,Fabricação de artigos de cutelaria,3,NR-04 Anexo I
25420,2542-0/00,"Fabricação de artigos de serralheria, exceto esquadrias",3,NR-04 Anexo I
25438,2543-8/00,Fabricação de ferramentas,3,NR-04 Anexo I
